"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","5","C1-C3,C22,C45","22uF-10%-16V-0805","Samsung Electro-Mechanics","CL21A226KOQNNNE","",""
"2","18","C4,C6-C9,C11,C21,C32,C33,C35,C36,C38,C39,C41,C44,C47,C53,C54","0.1uF-50V-10%-0603","YAGEO","CC0603KRX7R9BB104","",""
"3","23","C5,C10,C12-C20,C23-C31,C40,C42,C43","10uF-50V-10%-X7R-1210","Murata Eelectronics"," GRM32ER71H106KA12L","",""
"4","1","C34","1uF-50V-10%-0603","Taiyo Yuden","UMK107AB7105KA-T","",""
"5","3","C37,C55,C56","47pF-50V-10%-0603","KEMET","C0603C470K5GACAUTO","",""
"6","2","C46,C49","15nF-10%-50V-0603","YAGEO","CC0603KRX7R9BB153","",""
"7","1","C48","150pF-50V-10%-0603","YAGEO","CC0603KRX7R9BB151 ","",""
"8","1","C50","270pF-10%-50V-0603","YAGEO","CC0603KRX7R9BB271","",""
"9","2","C51,C52","5.6nF-10%-50V-0603","YAGEO","CC0603KRX7R9BB562","",""
"10","3","D1,D2,D4","BAT54KFILM","STmicro","STMicroelectronics","",""
"11","1","D3","24V"," DOWO"," SMDJ24CA","",""
"12","1","D5","PESD1CAN","Nexperia","PESD1CAN,215","Digkey","1727-3817-1-ND"
"13","2","D6,D7","PC,PWR","Everlight","QTLP650D4TR/QT15-21SYGD/S530-E2/TR8","Digikey","1080-1419-1-ND"
"14","2","D8,D9","STAT,WORD","Everlight","QTLP650D3TR","Digikey","1080-1418-1-ND"
"15","2","J1,J2","Terminal","Keystone Electronics","7774","Digikey","36-7774-ND"
"16","2","J3,J4","NX CONTROL & UART","Sullins Connector Solutions","PPTC181LFBN-RC","Digikey","S7016-ND"
"17","1","J5","NX CONTROL & UART","Adam Tech","PH1RB-18-UA","Digikey","2057-PH1RB-18-UA-ND"
"18","1","J6","USB1","Molex","5040500491","Digikey","WM10137CT-ND"
"19","2","J7,J10","15V,POWER","Molex","0436500200","Digikey","WM1860-ND"
"20","1","J8","SWD","Adam Tech","PH1RB-05-UA","Digikey","2057-PH1RB-05-UA-ND"
"21","1","J9","CAN1","Molex","0705550036","Digikey","WM4175-ND"
"22","1","J11","USB_C_Receptacle_USB2.0_14P","Global Connector Technology","USB4110-GF-A ","Digikey","2073-USB4110-GF-A-1-ND"
"23","1","L1","2.2uH-41mOhm-20%","KOHER Electronic","MDA4020-2R2M ","",""
"24","1","L2","2.2uH-19A-5.1mohm-20%","Koher Electronic","MDA1050-2R2M","",""
"25","1","L3","HZ0805E601R-10","Laird-Signal Integrity Products","HZ0805E601R-10","Digikey","240-2399-1-ND"
"26","1","LP1","","Bivar","RLP4-200-500","Digikey","492-1471-ND"
"27","2","Q1,Q8","SI2301CDS-T1-GE3","Vishay-Siliconix","SI2301CDS-T1-GE3 ","",""
"28","4","Q2,Q3,Q6,Q9","CSD19534Q5A","Texas Instruments","CSD19534Q5A","",""
"29","2","Q4,Q7","CSD17578Q5A","Texas Instruments","CSD17578Q5A","",""
"30","1","Q5","SS8050","Jiangsu Changjing Electronics Technology Co., Ltd.","SS8050(RANGE:200-350)","",""
"31","3","R1,R2,R20","13K-1%-0603","YAGEO","RC0603FR-0713KL","",""
"32","2","R3,R4","1K-1%-0603","YAGEO","RC0603FR-071KL","",""
"33","2","R5,R15","93.1k-1%-0603","YAGEO","AC0603FR-0793K1L","",""
"34","1","R6","10mOhm-3W-1%-2512","YAGEO","PA2512FKF7T0R01E","",""
"35","1","R7","1M-1%-0603","YAGEO","RC0603FR-071ML","",""
"36","4","R8-R11","0R-1%-0603","YAGEO","RC0603FR-070RL","",""
"37","2","R12,R13","100R-1%-0603","YAGEO","RC0603FR-07100RL","",""
"38","1","R14","249K-1%-0603","YAGEO","RT0603FRE07249KL","",""
"39","2","R16,R18","2K-1%-0603","YAGEO","RC0603FR-072KL","",""
"40","1","R17","10R0-1%-0603","YAGEO","RC0603FR-0710RL","",""
"41","1","R19","205K-1%-0603","UNI-ROYAL","0603WAF2053T5E","",""
"42","1","R21","5.9k-1%-0603","UNI-ROYAL","0603WAF5901T5E","",""
"43","1","R22","20K-1%-0603","YAGEO","RC0603FR-0720KL","",""
"44","1","R23","357K-1%-0603","YAGEO","RC0603FR-075K9L","",""
"45","2","R24,R25","5.1k-1%-0603","YAGEO","RC0603FR-075K1L","",""
"46","2","SW1,SW2","RECOVERY,RESET","E-Switch","TL1105VF100Q","Digikey","EG2507-ND"
"47","1","U1","TPS613222ADBV","","","",""
"48","2","U2,U4","LM74700QDBVRQ1","Texas Instruments","LM74700QDBVRQ1","",""
"49","1","U3","STM32G431CBTx","STMicroelectronics","STM32G431CBT6","",""
"50","1","U5","","Texas Instruments","LM5176PWPR","",""
"51","1","U6","TJA1051T/3/1J","NXP","TJA1051T/3/1J","",""
"52","1","U7","ISO6721BDR","Texas Instruments","ISO6721BDR","Digikey","296-ISO6721BDRCT-ND"
"53","1","U8","FT232RNL","FTDI","FT232RNL","Mouser","895-FT232RNL-TUBE "
